Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200011,"Water - Precipitation - rain & snow (""mixed"")",2000-11-15,2000-11-01,2000-11-30,GTK Code: SADE-1,-11.66,Laboratory of Isotope Geology,-80.2,Laboratory of Isotope Geology,,,,128.2,5.5,8.14
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200012,"Water - Precipitation - rain & snow (""mixed"")",2000-12-15,2000-12-01,2000-12-31,GTK Code: SADE-2,-12.44,Laboratory of Isotope Geology,-88.3,Laboratory of Isotope Geology,,,,88.1,2,6.75
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200101,"Water - Precipitation - rain & snow (""mixed"")",2001-01-15,2001-01-01,2001-01-31,GTK Code: SADE-3,-15.72,Laboratory of Isotope Geology,-114.4,Laboratory of Isotope Geology,,,,50.4,-1,5.24
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200102,"Water - Precipitation - rain & snow (""mixed"")",2001-02-15,2001-02-01,2001-02-28,GTK Code: SADE-4,-15.45,Laboratory of Isotope Geology,-112.2,Laboratory of Isotope Geology,,,,48.4,-6.8,3.7
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200103,"Water - Precipitation - rain & snow (""mixed"")",2001-03-15,2001-03-01,2001-03-31,GTK Code: SADE-5,-13.3,Laboratory of Isotope Geology,-95.6,Laboratory of Isotope Geology,,,,28.4,-2.7,4.09
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200104,"Water - Precipitation - rain & snow (""mixed"")",2001-04-15,2001-04-01,2001-04-30,GTK Code: SADE-6,-11.86,Laboratory of Isotope Geology,-81.1,Laboratory of Isotope Geology,,,,71.3,5,7.29
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200105,Water - Precipitation - rain,2001-05-15,2001-05-01,2001-05-31,GTK Code: SADE-7,-10.14,Laboratory of Isotope Geology,-71.9,Laboratory of Isotope Geology,,,,18.2,9.7,7.76
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200106,Water - Precipitation - rain,2001-06-15,2001-06-01,2001-06-30,GTK Code: SADE-8,-10.56,Laboratory of Isotope Geology,-74.1,Laboratory of Isotope Geology,,,,98.8,13.8,12.2
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200107,Water - Precipitation - rain,2001-07-15,2001-07-01,2001-07-31,GTK Code: SADE-9,-6.8,Laboratory of Isotope Geology,-44.4,Laboratory of Isotope Geology,,,,85.9,20.2,17.37
GNIP,GNIP/M/FI/01,ESPOO,FI,297401,60.18008889,24.83286111,30,Precipitation collectors - unknown,"[Partners: Geological Survey of Finland; Finnish Meteorological Institue], [Reference: Kortelainen & Karhu 2004], [Info: Meteo data for station Helsinki-Kaisaniemi_02978]",200108,Water - Precipitation - rain,2001-08-15,2001-08-01,2001-08-31,GTK Code: SADE-10,-9.11,Laboratory of Isotope Geology,-59.3,Laboratory of Isotope Geology,,,,77.3,16.4,14.68
