Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,Alkalinity,Alkalinity Provider
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201301,Water - Precipitation - unspecified (not reported),2013-01-15,2013-01-01,2013-01-31,,,,,,,,,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201302,Water - Precipitation - unspecified (not reported),2013-02-15,2013-02-01,2013-02-28,,,,,,,,,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201303,Water - Precipitation - unspecified (not reported),2013-03-15,2013-03-01,2013-03-31,,,,,,,,,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201304,Water - Precipitation - unspecified (not reported),2013-04-15,2013-04-01,2013-04-30,,,,,,,,,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201305,Water - Precipitation - unspecified (not reported),2013-05-15,2013-05-01,2013-05-31,,,,,,,,,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201306,Water - Precipitation - unspecified (not reported),2013-06-15,2013-06-01,2013-06-30,,,,,,,,,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201307,Water - Precipitation - unspecified (not reported),2013-07-15,2013-07-01,2013-07-31,,,,,,,,,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201308,Water - Precipitation - unspecified (not reported),2013-08-15,2013-08-01,2013-08-31,,,,,,,,,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201309,Water - Precipitation - unspecified (not reported),2013-09-15,2013-09-01,2013-09-30,,,,,,,,,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201310,Water - Precipitation - unspecified (not reported),2013-10-15,2013-10-01,2013-10-31,,,,,,,,,,,,,
