Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,Conductivity,Conductivity Provider
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196001,Water - Precipitation - unspecified (not reported),1960-01-15,1960-01-01,1960-01-31,,,,,,,,,10,14.1,9.4,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196002,Water - Precipitation - unspecified (not reported),1960-02-15,1960-02-01,1960-02-29,,,,,,,,,,19.7,9.4,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196003,Water - Precipitation - unspecified (not reported),1960-03-15,1960-03-01,1960-03-31,,,,,,,,,30,22,12.6,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196004,Water - Precipitation - unspecified (not reported),1960-04-15,1960-04-01,1960-04-30,,,,,,,,,10,27.5,10.6,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196005,Water - Precipitation - unspecified (not reported),1960-05-15,1960-05-01,1960-05-31,,,,,,,,,,33.3,13.3,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196006,Water - Precipitation - unspecified (not reported),1960-06-15,1960-06-01,1960-06-30,,,,,,,,,40,35.1,22.6,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196007,Water - Precipitation - unspecified (not reported),1960-07-15,1960-07-01,1960-07-31,,,,,,,,,220,30.9,31.2,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196008,Water - Precipitation - unspecified (not reported),1960-08-15,1960-08-01,1960-08-31,,,,,,,,,360,29.3,32.1,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196009,Water - Precipitation - unspecified (not reported),1960-09-15,1960-09-01,1960-09-30,,,,,,,,,10,30.1,25.1,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196010,Water - Precipitation - unspecified (not reported),1960-10-15,1960-10-01,1960-10-31,,,,,,,,,90,25.4,18.1,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196011,Water - Precipitation - unspecified (not reported),1960-11-15,1960-11-01,1960-11-30,,,,,,,,,,19.7,10.5,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196012,Water - Precipitation - unspecified (not reported),1960-12-15,1960-12-01,1960-12-31,,,,,,,,,,16.1,9.6,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196101,Water - Precipitation - unspecified (not reported),1961-01-15,1961-01-01,1961-01-31,,,,,,,,,10,14.9,11,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196102,Water - Precipitation - unspecified (not reported),1961-02-15,1961-02-01,1961-02-28,,,,,,,,,40,15.1,9.6,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196103,Water - Precipitation - unspecified (not reported),1961-03-15,1961-03-01,1961-03-31,,,,,,,,,,22.9,10.3,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196104,Water - Precipitation - unspecified (not reported),1961-04-15,1961-04-01,1961-04-30,,,,,,,,,3,28.1,11,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196105,Water - Precipitation - unspecified (not reported),1961-05-15,1961-05-01,1961-05-31,,,,,,,,,27,32.5,16.1,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196106,Water - Precipitation - unspecified (not reported),1961-06-15,1961-06-01,1961-06-30,,,,,,,,,77,33.5,23.7,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196107,Water - Precipitation - unspecified (not reported),1961-07-15,1961-07-01,1961-07-31,,-2.4,University of Copenhagen,-2.5,University of Copenhagen,65,12,Tata Institute of Fundamental Research,198,31,30.5,,
GNIP,GNIP/M/IN/05,NEW DELHI,IN,4218200,28.58,77.2,212,Precipitation collectors - unknown,[Partner: India Meteorological Dept. Safdarjung Airport],196108,Water - Precipitation - unspecified (not reported),1961-08-15,1961-08-01,1961-08-31,,-5.4,University of Copenhagen,-37.9,University of Copenhagen,88,16,Tata Institute of Fundamental Research,583,28.6,32.4,,
