Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,TempWater,TempWater Provider
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196801,Water - Precipitation - rain,1968-01-15,1968-01-01,1968-01-31,,,,,,,,,9,26.1,25.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196802,Water - Precipitation - rain,1968-02-15,1968-02-01,1968-02-29,,,,,,,,,29,27.6,28.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196803,Water - Precipitation - rain,1968-03-15,1968-03-01,1968-03-31,,,,,,,,,34,29.2,31,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196804,Water - Precipitation - rain,1968-04-15,1968-04-01,1968-04-30,,,,,,,,,89,30.3,33.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196805,Water - Precipitation - rain,1968-05-15,1968-05-01,1968-05-31,,,,,,,,,166,29.8,34.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196806,Water - Precipitation - rain,1968-06-15,1968-06-01,1968-06-30,,,,,,,,,171,28.9,32.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196807,Water - Precipitation - rain,1968-07-15,1968-07-01,1968-07-31,,-6.02,University of Copenhagen,,,44.6,2.8,Institute of Geological and Nuclear Sciences,68,29.4,31.1,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196808,Water - Precipitation - rain,1968-08-15,1968-08-01,1968-08-31,,-6.82,University of Copenhagen,-47.4,University of Copenhagen,51.8,3.2,Institute of Geological and Nuclear Sciences,270,29.3,30.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196809,Water - Precipitation - rain,1968-09-15,1968-09-01,1968-09-30,,-8.22,University of Copenhagen,-60.7,University of Copenhagen,46.5,2.9,Institute of Geological and Nuclear Sciences,294,28.9,32.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196810,Water - Precipitation - rain,1968-10-15,1968-10-01,1968-10-31,,-7.88,University of Copenhagen,-49.7,University of Copenhagen,38.7,2.5,Institute of Geological and Nuclear Sciences,173,28.4,22.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196811,Water - Precipitation - rain,1968-11-15,1968-11-01,1968-11-30,,-1.73,University of Copenhagen,-9.3,University of Copenhagen,31.6,2.1,Institute of Geological and Nuclear Sciences,24,28.7,21.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196812,Water - Precipitation - unspecified (not reported),1968-12-15,1968-12-01,1968-12-31,,,,,,,,,,28.6,21.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196901,Water - Precipitation - rain,1969-01-15,1969-01-01,1969-01-31,,-6.33,University of Copenhagen,-46.3,University of Copenhagen,18.7,1.3,Institute of Geological and Nuclear Sciences,39,28.3,21.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196902,Water - Precipitation - unspecified (not reported),1969-02-15,1969-02-01,1969-02-28,,,,,,,,,,28.6,21.5,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196903,Water - Precipitation - rain,1969-03-15,1969-03-01,1969-03-31,,3.79,University of Copenhagen,21.7,University of Copenhagen,22,1.4,Institute of Geological and Nuclear Sciences,15,30.2,24.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196904,Water - Precipitation - unspecified (not reported),1969-04-15,1969-04-01,1969-04-30,,,,,,,,,,31,33.6,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196905,Water - Precipitation - rain,1969-05-15,1969-05-01,1969-05-31,,-3.38,University of Copenhagen,-20.8,University of Copenhagen,22.5,1.5,Institute of Geological and Nuclear Sciences,69,30.6,35.3,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196906,Water - Precipitation - rain,1969-06-15,1969-06-01,1969-06-30,,-4.76,University of Copenhagen,-28.7,University of Copenhagen,27.1,1.8,Institute of Geological and Nuclear Sciences,280,29.5,34.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],196907,Water - Precipitation - rain,1969-07-15,1969-07-01,1969-07-31,,,,-24.4,University of Copenhagen,31,2,Institute of Geological and Nuclear Sciences,78,28.7,32.3,,
