Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197801,"Water - Precipitation - rain & snow (""mixed"")",1978-01-15,1978-01-01,1978-01-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-16.54,Helmholtz-Forschungszentrum,-122.6,Helmholtz-Forschungszentrum,79.8,3.9,Bundesanstalt fuer Gewaesserkunde,52.5,-2.9,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197802,"Water - Precipitation - rain & snow (""mixed"")",1978-02-15,1978-02-01,1978-02-28,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-16.04,Helmholtz-Forschungszentrum,-120.9,Helmholtz-Forschungszentrum,106,5,Bundesanstalt fuer Gewaesserkunde,107.8,-2.7,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197803,Water - Precipitation - rain,1978-03-15,1978-03-01,1978-03-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-13.02,Helmholtz-Forschungszentrum,-101.9,Helmholtz-Forschungszentrum,66.6,3.7,Bundesanstalt fuer Gewaesserkunde,130.5,2.7,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197804,Water - Precipitation - rain,1978-04-15,1978-04-01,1978-04-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-14.87,Helmholtz-Forschungszentrum,-111.1,Helmholtz-Forschungszentrum,140,5,Bundesanstalt fuer Gewaesserkunde,100.7,5.4,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197805,Water - Precipitation - rain,1978-05-15,1978-05-01,1978-05-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-10.79,Helmholtz-Forschungszentrum,-80.7,Helmholtz-Forschungszentrum,144,5,Bundesanstalt fuer Gewaesserkunde,127.2,9.7,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197806,Water - Precipitation - rain,1978-06-15,1978-06-01,1978-06-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-9.17,Helmholtz-Forschungszentrum,-65.6,Helmholtz-Forschungszentrum,151,5,Bundesanstalt fuer Gewaesserkunde,155.3,13.2,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197807,Water - Precipitation - rain,1978-07-15,1978-07-01,1978-07-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-7.95,Helmholtz-Forschungszentrum,-55.1,Helmholtz-Forschungszentrum,114,5,Bundesanstalt fuer Gewaesserkunde,211.2,14.5,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197808,Water - Precipitation - rain,1978-08-15,1978-08-01,1978-08-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-6.88,Helmholtz-Forschungszentrum,-49,Helmholtz-Forschungszentrum,126,5,Bundesanstalt fuer Gewaesserkunde,153.6,13.8,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197809,Water - Precipitation - rain,1978-09-15,1978-09-01,1978-09-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-8.41,Helmholtz-Forschungszentrum,-60.3,Helmholtz-Forschungszentrum,87.4,4.2,Bundesanstalt fuer Gewaesserkunde,163.4,11.2,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197810,Water - Precipitation - rain,1978-10-15,1978-10-01,1978-10-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-9.87,Helmholtz-Forschungszentrum,-71.5,Helmholtz-Forschungszentrum,63.3,3.7,Bundesanstalt fuer Gewaesserkunde,100.8,6.4,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197811,Water - Precipitation - rain,1978-11-15,1978-11-01,1978-11-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-17.01,Helmholtz-Forschungszentrum,-128.1,Helmholtz-Forschungszentrum,75.4,4.1,Bundesanstalt fuer Gewaesserkunde,23.9,0.5,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197812,"Water - Precipitation - rain & snow (""mixed"")",1978-12-15,1978-12-01,1978-12-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-12.71,Helmholtz-Forschungszentrum,-103,Helmholtz-Forschungszentrum,41.4,3.8,Bundesanstalt fuer Gewaesserkunde,46.3,-1.7,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197901,"Water - Precipitation - rain & snow (""mixed"")",1979-01-15,1979-01-01,1979-01-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-16.33,Helmholtz-Forschungszentrum,-113.7,Helmholtz-Forschungszentrum,55.8,3.1,Bundesanstalt fuer Gewaesserkunde,70.6,-5.1,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197902,"Water - Precipitation - rain & snow (""mixed"")",1979-02-15,1979-02-01,1979-02-28,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-14.12,Helmholtz-Forschungszentrum,-111.7,Helmholtz-Forschungszentrum,42.8,3.4,Bundesanstalt fuer Gewaesserkunde,62.2,-0.1,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197903,"Water - Precipitation - rain & snow (""mixed"")",1979-03-15,1979-03-01,1979-03-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-15.44,Helmholtz-Forschungszentrum,-117.4,Helmholtz-Forschungszentrum,137,4.5,Bundesanstalt fuer Gewaesserkunde,169.5,3.4,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197904,"Water - Precipitation - rain & snow (""mixed"")",1979-04-15,1979-04-01,1979-04-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-16.61,Helmholtz-Forschungszentrum,-124.8,Helmholtz-Forschungszentrum,68.3,3.4,Bundesanstalt fuer Gewaesserkunde,125.2,4,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",197905,Water - Precipitation - rain,1979-05-15,1979-05-01,1979-05-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-9.55,Helmholtz-Forschungszentrum,-66.1,Helmholtz-Forschungszentrum,74.6,3.4,Bundesanstalt fuer Gewaesserkunde,127.1,11.1,
